Slide;OrigSlide;Tumor;roi_type
295.tiff;18688_22_A1_HE_20250115_1_x446643_y175127_z0_w13466_h10094.tiff;hGBM;random
296.tiff;17876_22_A1_HE_20250115_1x120906_y190375_z0_w13466_h10094.tiff;hGBM;random
297.tiff;243_24_A3_HE_20241107_1x113608_y156679_z0_w13466_h10094.tiff;hGBM;random
298.tiff;15479_22_A2_HE_20241111_2x353344_y244447_z0_w13466_h10094.tiff;hGBM;random
299.tiff;1387_24_A4_HE_20241104_2x404016_y235219_z0_w13466_h10094.tiff;hGBM;random
300.tiff;17136_22_Aa_HE_20241111_2x477797_y286822_z0_w13466_h10094.tiff;hGBM;random
301.tiff;17113_22_A2_HE_20241111_1x165146_y190373_z0_w13466_h10094.tiff;hGBM;random
302.tiff;6214_23_A4_HE_20240730_1x151664_y184304_z0_w13466_h10094.tiff;hLUAD;challenging
303.tiff;14674_24_A8_HE_20240923_1x124327_y191710_z0_w13466_h10094.tiff;hLUAD;challenging
304.tiff;5064_21_A4_HE_20240813_1x109936_y316206_z0_w13466_h10094.tiff;hLUAD;challenging
305.tiff;7117_21_A2_HE-20240722_2_20240724154041940x432035_y248448_z0_w13466_h10094.tiff;hLUAD;challenging
306.tiff;6766_21_A3_HE_20240729_2_20240730112511703x382650_y177921_z0_w13466_h10094.tiff;hLUAD;challenging
307.tiff;3674_21_A6_HE_20240827_2x386777_y262218_z0_w13466_h10094.tiff;hLUAD;challenging
308.tiff;2987_21_A3_HE_20240730_2x426751_y284442_z0_w13466_h10094.tiff;hLUAD;challenging
309.tiff;12104_24_A4_HE_20240911_1x135805_y131727_z0_w13466_h10094.tiff;hLUAD;challenging
310.tiff;7532_21_A2_HE_20240729_1x119098_y163689_z0_w13466_h10094.tiff;hLUAD;challenging
311.tiff;7394_21_A7_HE_20240729_1x124421_y292197_z0_w13466_h10094.tiff;hLUAD;challenging
312.tiff;8394_24_A4_HE_20240911_2x471004_y188790_z0_w13466_h10094.tiff;hLUAD;challenging
313.tiff;12880_24_A6_HE_20240923_1x104327_y152233_z0_w13466_h10094.tiff;hLUAD;challenging
314.tiff;12880_24_A6_HE_20240923_1x170710_y192533_z0_w13466_h10094.tiff;hLUAD;random
315.tiff;6214_23_A4_HE_20240730_1x156328_y227949_z0_w13466_h10094.tiff;hLUAD;random
316.tiff;7532_21_A2_HE_20240729_1x52797_y215142_z0_w13466_h10094.tiff;hLUAD;random
317.tiff;12104_24_A4_HE_20240911_1x86892_y170326_z0_w13466_h10094.tiff;hLUAD;random
318.tiff;3674_21_A6_HE_20240827_2x369333_y178759_z0_w13466_h10094.tiff;hLUAD;random
319.tiff;2987_21_A3_HE_20240730_2x349742_y253512_z0_w13466_h10094.tiff;hLUAD;random
320.tiff;7394_21_A7_HE_20240729_1x91347_y150688_z0_w13466_h10094.tiff;hLUAD;random
321.tiff;6766_21_A3_HE_20240729_2_20240730112511703x372122_y216335_z0_w13466_h10094.tiff;hLUAD;random
322.tiff;8394_24_A4_HE_20240911_2x361993_y267689_z0_w13466_h10094.tiff;hLUAD;random
323.tiff;5064_21_A4_HE_20240813_1x124643_y262980_z0_w13466_h10094.tiff;hLUAD;random
324.tiff;7117_21_A2_HE-20240722_2_20240724154041940x372619_y116341_z0_w13466_h10094.tiff;hLUAD;random
325.tiff;14674_24_A8_HE_20240923_1x61203_y144867_z0_w13466_h10094.tiff;hLUAD;random
326.tiff;WF22-009 Melanoma UMCUtrecht - 2022-06-10 17.40.02.ndpix97005_y14317_z0_w7406_h5554.tiff;hMel;challenging
327.tiff;WF22-004 Melanoma UMCUtrecht - 2022-06-10 16.56.23.ndpix84011_y50705_z0_w7406_h5554.tiff;hMel;challenging
328.tiff;WF22-014 Melanoma UMCUtrecht - 2022-06-10 17.22.12.ndpix93853_y50581_z0_w7406_h5554.tiff;hMel;challenging
329.tiff;WF22-007 Melanoma UMCUtrecht - 2022-06-10 17.44.45.ndpix111937_y61762_z0_w7406_h5554.tiff;hMel;challenging
330.tiff;WF22-015 Melanoma UMCUtrecht - 2022-06-10 17.36.07.ndpix30446_y75964_z0_w7406_h5554.tiff;hMel;challenging
331.tiff;WF22-001 Melanoma UMCUtrecht - 2022-06-10 17.06.44.ndpix8400_y23888_z0_w7406_h5554.tiff;hMel;challenging
332.tiff;WF22-006 Melanoma UMCUtrecht - 2022-06-10 16.52.42.ndpix9391_y16663_z0_w7406_h5554.tiff;hMel;challenging
333.tiff;WF22-002 Melanoma UMCUtrecht - 2022-06-10 17.05.32.ndpix22071_y13362_z0_w7406_h5554.tiff;hMel;challenging
334.tiff;WF22-012 Melanoma UMCUtrecht - 2022-06-10 17.30.33.ndpix43581_y42528_z0_w7406_h5554.tiff;hMel;challenging
335.tiff;WF22-011 Melanoma UMCUtrecht - 2022-06-10 17.33.33.ndpix103192_y13924_z0_w7406_h5554.tiff;hMel;challenging
336.tiff;WF22-012 Melanoma UMCUtrecht - 2022-06-10 17.30.33.ndpix5000_y12087_z0_w7104_h5328.tiff;hMel;random
337.tiff;WF22-006 Melanoma UMCUtrecht - 2022-06-10 16.52.42.ndpix49320_y41766_z0_w7104_h5328.tiff;hMel;random
338.tiff;WF22-002 Melanoma UMCUtrecht - 2022-06-10 17.05.32.ndpix8199_y7912_z0_w7104_h5328.tiff;hMel;random
339.tiff;WF22-015 Melanoma UMCUtrecht - 2022-06-10 17.36.07.ndpix51855_y75594_z0_w7104_h5328.tiff;hMel;random
340.tiff;WF22-007 Melanoma UMCUtrecht - 2022-06-10 17.44.45.ndpix95719_y44916_z0_w7104_h5328.tiff;hMel;random
341.tiff;WF22-001 Melanoma UMCUtrecht - 2022-06-10 17.06.44.ndpix30947_y22317_z0_w7104_h5328.tiff;hMel;random
342.tiff;WF22-009 Melanoma UMCUtrecht - 2022-06-10 17.40.02.ndpix35222_y50600_z0_w7104_h5328.tiff;hMel;random
343.tiff;WF22-004 Melanoma UMCUtrecht - 2022-06-10 16.56.23.ndpix47861_y70836_z0_w7104_h5328.tiff;hMel;random
344.tiff;WF22-014 Melanoma UMCUtrecht - 2022-06-10 17.22.12.ndpix49345_y58800_z0_w7104_h5328.tiff;hMel;random
345.tiff;WF22-011 Melanoma UMCUtrecht - 2022-06-10 17.33.33.ndpix18628_y20506_z0_w7104_h5328.tiff;hMel;random
346.tiff;N1920_20_1_HE - 2021-10-01 22.09.44.ndpix64025_y17718_z0_w7406_h5554.tiff;hMen;challenging
347.tiff;N533_21_Z_HE - 2021-10-01 23.36.44.ndpix17370_y67368_z0_w7406_h5554.tiff;hMen;challenging
348.tiff;N632_21_Z_HE - 2021-10-01 21.30.48.ndpix7449_y44703_z0_w7406_h5554.tiff;hMen;challenging
349.tiff;N644_21_II2_HE - 2021-10-01 23.27.33.ndpix11728_y35659_z0_w7406_h5554.tiff;hMen;challenging
350.tiff;N704_21_2_HE - 2021-10-04 10.30.31.ndpix46360_y30527_z0_w7406_h5554.tiff;hMen;challenging
351.tiff;N556_21_2_HE - 2021-10-04 10.19.32.ndpix124237_y51374_z0_w7406_h5554.tiff;hMen;challenging
352.tiff;N380_21_I2_HE - 2021-10-01 21.22.10.ndpix84002_y81074_z0_w7406_h5554.tiff;hMen;challenging
353.tiff;N711_21_Z_HE - 2021-10-04 09.59.41.ndpix13604_y59775_z0_w7406_h5554.tiff;hMen;challenging
354.tiff;N546_21_III_HE - 2021-10-01 21.18.39.ndpix20733_y12341_z0_w7406_h5554.tiff;hMen;challenging
355.tiff;N474_20_1_HE - 2021-10-01 22.20.28.ndpix64261_y14190_z0_w7406_h5554.tiff;hMen;challenging
356.tiff;N533_21_Z_HE - 2021-10-01 23.36.44.ndpix74946_y74899_z0_w7406_h5554.tiff;hMen;random
357.tiff;N556_21_2_HE - 2021-10-04 10.19.32.ndpix99070_y60663_z0_w7406_h5554.tiff;hMen;random
358.tiff;N711_21_Z_HE - 2021-10-04 09.59.41.ndpix33244_y62385_z0_w7406_h5554.tiff;hMen;random
359.tiff;N644_21_II2_HE - 2021-10-01 23.27.33.ndpix78190_y56217_z0_w7406_h5554.tiff;hMen;random
360.tiff;N704_21_2_HE - 2021-10-04 10.30.31.ndpix20463_y25827_z0_w7406_h5554.tiff;hMen;random
361.tiff;N546_21_III_HE - 2021-10-01 21.18.39.ndpix26112_y28923_z0_w7406_h5554.tiff;hMen;random
362.tiff;N632_21_Z_HE - 2021-10-01 21.30.48.ndpix42976_y37448_z0_w7406_h5554.tiff;hMen;random
363.tiff;N474_20_1_HE - 2021-10-01 22.20.28.ndpix67213_y35778_z0_w7406_h5554.tiff;hMen;random
364.tiff;N1920_20_1_HE - 2021-10-01 22.09.44.ndpix31007_y35627_z0_w7406_h5554.tiff;hMen;random
365.tiff;N380_21_I2_HE - 2021-10-01 21.22.10.ndpix12470_y28332_z0_w7406_h5554.tiff;hMen;random
